cod_uf,nome_uf,cod_mesorregiao,nome_mesorregiao,cod_microrregiao,nome_microrregiao,numero_municipio,cod_municipio,nome_municipio
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,55,2100055,Açailândia
21,Maranhão,4,Leste Maranhense,16,Coelho Neto,105,2100105,Afonso Cunha
21,Maranhão,4,Leste Maranhense,13,Baixo Parnaíba Maranhense,154,2100154,Água Doce do Maranhão
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,204,2100204,Alcântara
21,Maranhão,4,Leste Maranhense,16,Coelho Neto,303,2100303,Aldeias Altas
21,Maranhão,2,Oeste Maranhense,8,Pindaré,402,2100402,Altamira do Maranhão
21,Maranhão,4,Leste Maranhense,15,Codó,436,2100436,Alto Alegre do Maranhão
21,Maranhão,2,Oeste Maranhense,8,Pindaré,477,2100477,Alto Alegre do Pindaré
21,Maranhão,5,Sul Maranhense,20,Gerais de Balsas,501,2100501,Alto Parnaíba
21,Maranhão,2,Oeste Maranhense,7,Gurupi,550,2100550,Amapá do Maranhão
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,600,2100600,Amarante do Maranhão
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,709,2100709,Anajatuba
21,Maranhão,4,Leste Maranhense,14,Chapadinha,808,2100808,Anapurus
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,832,2100832,Apicum-Açu
21,Maranhão,2,Oeste Maranhense,8,Pindaré,873,2100873,Araguanã
21,Maranhão,4,Leste Maranhense,13,Baixo Parnaíba Maranhense,907,2100907,Araioses
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,956,2100956,Arame
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,1004,2101004,Arari
21,Maranhão,1,Norte Maranhense,3,Rosário,1103,2101103,Axixá
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,1202,2101202,Bacabal
21,Maranhão,1,Norte Maranhense,3,Rosário,1251,2101251,Bacabeira
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,1301,2101301,Bacuri
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,1350,2101350,Bacurituba
21,Maranhão,5,Sul Maranhense,20,Gerais de Balsas,1400,2101400,Balsas
