"cod_ibge","tipo","sexo","n"
211400,"Mais de 100 anos","Homem",2
211400,"95 a 99 anos","Homem",8
211400,"90 a 94 anos","Homem",34
211400,"85 a 89 anos","Homem",82
211400,"80 a 84 anos","Homem",180
211400,"75 a 79 anos","Homem",311
211400,"70 a 74 anos","Homem",416
211400,"65 a 69 anos","Homem",545
211400,"60 a 64 anos","Homem",677
211400,"55 a 59 anos","Homem",774
211400,"50 a 54 anos","Homem",874
211400,"45 a 49 anos","Homem",1046
211400,"40 a 44 anos","Homem",1172
211400,"35 a 39 anos","Homem",1415
211400,"30 a 34 anos","Homem",1888
211400,"25 a 29 anos","Homem",2248
211400,"20 a 24 anos","Homem",2389
211400,"15 a 19 anos","Homem",2641
211400,"10 a 14 anos","Homem",2952
211400,"5 a 9 anos","Homem",2711
211400,"0 a 4 anos","Homem",2533
211300,"Mais de 100 anos","Homem",1
211300,"95 a 99 anos","Homem",7
211300,"90 a 94 anos","Homem",34
211300,"85 a 89 anos","Homem",77
211300,"80 a 84 anos","Homem",135
211300,"75 a 79 anos","Homem",228
211300,"70 a 74 anos","Homem",311
211300,"65 a 69 anos","Homem",415
211300,"60 a 64 anos","Homem",492
211300,"55 a 59 anos","Homem",515
211300,"50 a 54 anos","Homem",592
211300,"45 a 49 anos","Homem",734
211300,"40 a 44 anos","Homem",807
211300,"35 a 39 anos","Homem",942
211300,"30 a 34 anos","Homem",1068
211300,"25 a 29 anos","Homem",1299
211300,"20 a 24 anos","Homem",1397
211300,"15 a 19 anos","Homem",1641
211300,"10 a 14 anos","Homem",1902
211300,"5 a 9 anos","Homem",1645
211300,"0 a 4 anos","Homem",1479
211290,"Mais de 100 anos","Homem",1
211290,"95 a 99 anos","Homem",5
211290,"90 a 94 anos","Homem",29
211290,"85 a 89 anos","Homem",55
211290,"80 a 84 anos","Homem",112
211290,"75 a 79 anos","Homem",221
211290,"70 a 74 anos","Homem",271
211290,"65 a 69 anos","Homem",328
211290,"60 a 64 anos","Homem",399
211290,"55 a 59 anos","Homem",587
211290,"50 a 54 anos","Homem",611
211290,"45 a 49 anos","Homem",661
211290,"40 a 44 anos","Homem",755
211290,"35 a 39 anos","Homem",812
211290,"30 a 34 anos","Homem",1043
211290,"25 a 29 anos","Homem",1281
211290,"20 a 24 anos","Homem",1492
211290,"15 a 19 anos","Homem",1803
211290,"10 a 14 anos","Homem",1809
211290,"5 a 9 anos","Homem",1704
211290,"0 a 4 anos","Homem",1585
211285,"Mais de 100 anos","Homem",NA
211285,"95 a 99 anos","Homem",2
211285,"90 a 94 anos","Homem",7
211285,"85 a 89 anos","Homem",3
211285,"80 a 84 anos","Homem",39
211285,"75 a 79 anos","Homem",57
211285,"70 a 74 anos","Homem",90
211285,"65 a 69 anos","Homem",122
211285,"60 a 64 anos","Homem",157
211285,"55 a 59 anos","Homem",166
211285,"50 a 54 anos","Homem",201
211285,"45 a 49 anos","Homem",249
211285,"40 a 44 anos","Homem",308
211285,"35 a 39 anos","Homem",333
211285,"30 a 34 anos","Homem",434
211285,"25 a 29 anos","Homem",526
211285,"20 a 24 anos","Homem",647
211285,"15 a 19 anos","Homem",570
211285,"10 a 14 anos","Homem",701
211285,"5 a 9 anos","Homem",720
211285,"0 a 4 anos","Homem",606
211280,"Mais de 100 anos","Homem",5
211280,"95 a 99 anos","Homem",8
211280,"90 a 94 anos","Homem",54
211280,"85 a 89 anos","Homem",98
211280,"80 a 84 anos","Homem",177
211280,"75 a 79 anos","Homem",327
211280,"70 a 74 anos","Homem",423
211280,"65 a 69 anos","Homem",521
211280,"60 a 64 anos","Homem",652
211280,"55 a 59 anos","Homem",777
211280,"50 a 54 anos","Homem",839
211280,"45 a 49 anos","Homem",1063
211280,"40 a 44 anos","Homem",1136
211280,"35 a 39 anos","Homem",1403
211280,"30 a 34 anos","Homem",1763
211280,"25 a 29 anos","Homem",2217
211280,"20 a 24 anos","Homem",2402
211280,"15 a 19 anos","Homem",2691
211280,"10 a 14 anos","Homem",2928
211280,"5 a 9 anos","Homem",2737
211280,"0 a 4 anos","Homem",2491
211270,"Mais de 100 anos","Homem",2
211270,"95 a 99 anos","Homem",8
211270,"90 a 94 anos","Homem",41
211270,"85 a 89 anos","Homem",66
211270,"80 a 84 anos","Homem",133
211270,"75 a 79 anos","Homem",239
211270,"70 a 74 anos","Homem",398
211270,"65 a 69 anos","Homem",526
211270,"60 a 64 anos","Homem",598
211270,"55 a 59 anos","Homem",657
211270,"50 a 54 anos","Homem",799
211270,"45 a 49 anos","Homem",959
211270,"40 a 44 anos","Homem",1151
211270,"35 a 39 anos","Homem",1328
211270,"30 a 34 anos","Homem",1705
211270,"25 a 29 anos","Homem",2123
211270,"20 a 24 anos","Homem",2499
211270,"15 a 19 anos","Homem",2675
211270,"10 a 14 anos","Homem",3105
211270,"5 a 9 anos","Homem",2884
211270,"0 a 4 anos","Homem",2723
211260,"Mais de 100 anos","Homem",3
211260,"95 a 99 anos","Homem",11
211260,"90 a 94 anos","Homem",25
211260,"85 a 89 anos","Homem",35
211260,"80 a 84 anos","Homem",76
211260,"75 a 79 anos","Homem",120
211260,"70 a 74 anos","Homem",182
211260,"65 a 69 anos","Homem",203
211260,"60 a 64 anos","Homem",257
211260,"55 a 59 anos","Homem",298
211260,"50 a 54 anos","Homem",363
211260,"45 a 49 anos","Homem",493
211260,"40 a 44 anos","Homem",535
211260,"35 a 39 anos","Homem",570
211260,"30 a 34 anos","Homem",806
211260,"25 a 29 anos","Homem",1092
211260,"20 a 24 anos","Homem",1252
211260,"15 a 19 anos","Homem",1399
211260,"10 a 14 anos","Homem",1664
211260,"5 a 9 anos","Homem",1416
211260,"0 a 4 anos","Homem",1572
211250,"Mais de 100 anos","Homem",1
211250,"95 a 99 anos","Homem",23
211250,"90 a 94 anos","Homem",53
211250,"85 a 89 anos","Homem",93
211250,"80 a 84 anos","Homem",175
211250,"75 a 79 anos","Homem",268
211250,"70 a 74 anos","Homem",377
211250,"65 a 69 anos","Homem",550
211250,"60 a 64 anos","Homem",675
211250,"55 a 59 anos","Homem",709
211250,"50 a 54 anos","Homem",824
211250,"45 a 49 anos","Homem",1088
211250,"40 a 44 anos","Homem",1334
211250,"35 a 39 anos","Homem",1358
211250,"30 a 34 anos","Homem",1829
211250,"25 a 29 anos","Homem",213
211250,"20 a 24 anos","Homem",2619
211250,"15 a 19 anos","Homem",3169
211250,"10 a 14 anos","Homem",3405
211250,"5 a 9 anos","Homem",3144
211250,"0 a 4 anos","Homem",2856
211245,"Mais de 100 anos","Homem",NA
211245,"95 a 99 anos","Homem",1
211245,"90 a 94 anos","Homem",20
211245,"85 a 89 anos","Homem",21
211245,"80 a 84 anos","Homem",45
211245,"75 a 79 anos","Homem",107
211245,"70 a 74 anos","Homem",165
211245,"65 a 69 anos","Homem",252
211245,"60 a 64 anos","Homem",269
211245,"55 a 59 anos","Homem",358
211245,"50 a 54 anos","Homem",353
211245,"45 a 49 anos","Homem",425
211245,"40 a 44 anos","Homem",541
211245,"35 a 39 anos","Homem",591
211245,"30 a 34 anos","Homem",757
211245,"25 a 29 anos","Homem",943
211245,"20 a 24 anos","Homem",1145
211245,"15 a 19 anos","Homem",1209
211245,"10 a 14 anos","Homem",1387
211245,"5 a 9 anos","Homem",1433
211245,"0 a 4 anos","Homem",1459
211240,"Mais de 100 anos","Homem",3
211240,"95 a 99 anos","Homem",5
211240,"90 a 94 anos","Homem",27
211240,"85 a 89 anos","Homem",53
211240,"80 a 84 anos","Homem",78
211240,"75 a 79 anos","Homem",194
211240,"70 a 74 anos","Homem",239
211240,"65 a 69 anos","Homem",337
211240,"60 a 64 anos","Homem",396
211240,"55 a 59 anos","Homem",501
211240,"50 a 54 anos","Homem",534
211240,"45 a 49 anos","Homem",685
211240,"40 a 44 anos","Homem",801
211240,"35 a 39 anos","Homem",974
211240,"30 a 34 anos","Homem",1142
211240,"25 a 29 anos","Homem",1494
211240,"20 a 24 anos","Homem",1721
211240,"15 a 19 anos","Homem",1985
211240,"10 a 14 anos","Homem",22
211240,"5 a 9 anos","Homem",2184
211240,"0 a 4 anos","Homem",2073
211230,"Mais de 100 anos","Homem",3
211230,"95 a 99 anos","Homem",6
211230,"90 a 94 anos","Homem",40
211230,"85 a 89 anos","Homem",83
211230,"80 a 84 anos","Homem",146
211230,"75 a 79 anos","Homem",257
211230,"70 a 74 anos","Homem",391
211230,"65 a 69 anos","Homem",474
211230,"60 a 64 anos","Homem",604
211230,"55 a 59 anos","Homem",694
211230,"50 a 54 anos","Homem",770
211230,"45 a 49 anos","Homem",876
211230,"40 a 44 anos","Homem",1008
211230,"35 a 39 anos","Homem",1189
211230,"30 a 34 anos","Homem",1455
211230,"25 a 29 anos","Homem",1699
211230,"20 a 24 anos","Homem",1755
211230,"15 a 19 anos","Homem",22
211230,"10 a 14 anos","Homem",2202
211230,"5 a 9 anos","Homem",2131
211230,"0 a 4 anos","Homem",2009
211227,"Mais de 100 anos","Homem",NA
211227,"95 a 99 anos","Homem",2
211227,"90 a 94 anos","Homem",4
211227,"85 a 89 anos","Homem",16
211227,"80 a 84 anos","Homem",31
211227,"75 a 79 anos","Homem",35
211227,"70 a 74 anos","Homem",52
211227,"65 a 69 anos","Homem",69
211227,"60 a 64 anos","Homem",79
211227,"55 a 59 anos","Homem",97
211227,"50 a 54 anos","Homem",91
211227,"45 a 49 anos","Homem",103
211227,"40 a 44 anos","Homem",121
211227,"35 a 39 anos","Homem",143
211227,"30 a 34 anos","Homem",182
211227,"25 a 29 anos","Homem",246
211227,"20 a 24 anos","Homem",200
211227,"15 a 19 anos","Homem",294
211227,"10 a 14 anos","Homem",329
211227,"5 a 9 anos","Homem",414
211227,"0 a 4 anos","Homem",349
211223,"Mais de 100 anos","Homem",NA
211223,"95 a 99 anos","Homem",4
211223,"90 a 94 anos","Homem",16
211223,"85 a 89 anos","Homem",50
211223,"80 a 84 anos","Homem",81
211223,"75 a 79 anos","Homem",137
211223,"70 a 74 anos","Homem",173
211223,"65 a 69 anos","Homem",207
211223,"60 a 64 anos","Homem",258
211223,"55 a 59 anos","Homem",307
211223,"50 a 54 anos","Homem",347
211223,"45 a 49 anos","Homem",390
211223,"40 a 44 anos","Homem",493
211223,"35 a 39 anos","Homem",641
211223,"30 a 34 anos","Homem",686
211223,"25 a 29 anos","Homem",875
211223,"20 a 24 anos","Homem",919
211223,"15 a 19 anos","Homem",830
211223,"10 a 14 anos","Homem",953
211223,"5 a 9 anos","Homem",861
211223,"0 a 4 anos","Homem",913
211220,"Mais de 100 anos","Homem",9
211220,"95 a 99 anos","Homem",28
211220,"90 a 94 anos","Homem",87
211220,"85 a 89 anos","Homem",207
