cod_regiao_saude,regiao_saude,populacao
21001,Açailândia,299790
21002,Bacabal,270265
21003,Balsas,227849
21004,Barra do Corda,234826
21005,Caxias,307325
21006,Chapadinha,381194
21007,Codó,310175
21008,Imperatriz,545030
21009,Itapecuru Mirim,387903
21010,Pedreiras,219106
21011,Pinheiro,399292
21012,Presidente Dutra,291548
21013,Rosário,303498
21014,Santa Inês,395740
21015,São João dos Patos,247026
21016,São Luís,1465039
21017,Timon,251391
21018,Viana,274471
21019,Zé Doca,303130
